,user_a,user_b
761,"12 giờ á, thế mày mấy giờ <eos> Tao cũng vậy, chờ mày chỗ cổng nghe",Oke <eos> Hay mày chạy qua chỗ tao đi cùng cho vui
762,"Oke, cũng được mà mày học phòng mấy",Phòng A505 á
763,"Oke, nhớ chờ tao trước cửa phòng học á nghe",Oke
764,"Ê mi ơi, cái bài trên lớp lúc sáng học hiểu không?",Hiểu sơ sơ á mày
765,Chiều tao qua trọ mày giảng lại cho tao với <eos> Mua nước qua uống thì giảng cho,"Oke, thế chiều 2 giờ t qua nghe <eos> 2 giờ còn ngủ trưa ba"
766,"Gì mà giờ đó còn ngủ ba, thế 3 giờ nghe","Ừm, cũng được, qua tới gọi tao nghe"
767,"Oke, tới tao gọi, bye","Oke, gọi chứ không tao cho ở ngoài á chứ"
768,"Ê thằng tê, chiều đi đá bóng không?",Đá với tụi mô?
769,"Đá́ với bọn làng trên nứ, ở sân nhà bà Kiều ấy hỉ.","Được mấy đứa rồi, chứ tau đang đau chân cũng nỏ muốn đi."
770,"Mi cứ lên đi, chứ bọn hắn cũng bình thường à, lên lụm nhẹ mấy thằng nhỏ.","Rứa chiều mi qua chở tau đi hầy, bà già lấy xe đi lên xã rồi."
771,Oke khi mô qua t nhắn.,Oke nhớ đó.
772,Ê cho tao hỏi bữa mày thi tư tưởng đề dễ hong,"không hề dễ, đề ra toàn lạ "
773,"vậy hả, hỏi để tao biết tao ôn á <eos> cảm ơn mày nhiều nè",hong có chi <eos> thi tốt nha 
774,"ừa haha, mong là vậy",
775,"xin chào, bạn cho mình làm quen được không",Được thôi
776,"Cảm ơn, mình tên là Nam, còn bạn ?","Mình tên Trúc <eos> Quê bạn ở đâu, quê mình ở Đồng Tháp"
777,"Mình cũng ở Đồng Tháp, vậy chúng ta là đồng hương rồi","Ừm, trùng hợp thật"
778,Bạn có thể cho mình biết số điện thoại không?,Chắc chắn rồi.
779,Cảm ơn và tạm biệt,gặp lại sau
780,"Này bạn, bạn làm bài tập chưa","mình làm rồi, có gì không bạn?"
781,"giỏi thật, bài tập khó quá mình chưa làm xong nữa","bài tập không khó lắm đâu, áp dụng công thức là ra thôi"
782,"thiệt luôn, bạn chỉ mình làm với được không",được thôi
783,"cảm ơn nhiều nha, hôm nào mời ông đi uống nước",không có gì
784,ngày lễ vừa rồi bạn có đi đâu chơi không?,mình có đi leo núi ở núi Chứa Chan
785,"tuyệt thật, bạn cảm thấy như thế nào?",lúc đầu rất mệt nhưng niềm vui chinh phục được đỉnh núi lớn hơn
786,phải mất bao lâu để lên và xuống núi,"mình tốn khoảng bốn tiếng để lên đến đỉnh núi, và khoảng 2 tiếng để xuống núi"
787,chà leo lên lâu thật đấy,phần là do trời mưa nên mình phải ngừng chân lại nhiều lần
788,mình cũng muốn đi leo núi một ngày nào đó,vậy lần sau mình đi thì mình sẽ rủ bạn
789,cảm ơn nhé,
790,bạn có thích môn thể thao nào không?,mình thích môn cầu lông
791,bạn có thường xuyên chơi cầu lông không?,"có chứ, mình chơi cầu lông hằng tuần"
792,bạn thường chơi với ai,mình thường chơi với em gái mình
793,"tuyệt vời, bạn chơi cầu lông có giỏi không",mình chơi khá tốt
794,"khi nào rãnh rỗi, cùng chơi cầu lông nào",được thôi
795,"chào bạn, lần đầu gặp mặt","chào bạn, rất vui được gặp"
796,bạn hiện đang làm công việc gì?,tôi là lập trình viên
797,bạn đang làm việc ở đâu?,"tôi đang làm việc ở quận 1 thành phố Hồ Chí Minh <eos> còn bạn, công việc hiện tại của bạn là gì?"
798,tôi là giáo viên,bạn là giáo viên dạy môn gì?
799,tôi dạy môn hoá,bạn đang giảng dạy tại trường nào?
800,tôi dạy tại một trường trung học phổ thông ở thành phố Hồ Chí Minh <eos> công việc lập trình viên như thế nào?,lập trình viên là một người lập trình ra nhưng gì hoạt động bên trong một ứng dụng
801,lương của bạn có cao không?,lương của tôi ở mức trung bình
802,công việc bạn có suôn sẻ không?,"có chứ, có thể tôi sẽ được lên chức sớm <eos> còn bạn, công việc của bạn có ổn không?"
803,cũng khá vất vả vì học sinh không chịu học gì cả,
804,"Ê mày, nghỉ lễ 30/4 có kế hoạch gì chưa?","Chưa nè, mà sao á?"
805,Đi du lịch không? <eos> Đi Đà Lạt với tao nè.,"Thôi, đi Đà Lạt lễ này đông lắm. <eos> Với lại đi ngày lễ bị chém giá cho coi."
806,"Ừa, cũng đúng. <eos> Vậy qua lễ đi được không?","Oke nè, sau lễ tao cũng rảnh được 1 tuần ấy."
807,Vậy chốt thứ năm tuần sau nhe. <eos> Để tao đặt vé xe với book sẵn homestay.,Oke nhe.
808,Cậu có tham gia câu lạc bộ thể thao nào trong trường mình không?,Mình tính tham gia câu lạc bộ cầu lông nè. <eos> Còn cậu có tham gia câu lạc bộ thể thao nào không?
809,Mình đang tham gia câu lạc bộ bóng rổ nè.,"Hay thế, mình cũng thích bóng rổ lắm. <eos> Con trai chơi bóng rổ có sức hút lắm luôn."
810,"Haha, cậu quá khen. <eos> Sắp tới mình có thi đấu giải bóng rổ của trường nè. <eos> Cậu nhớ đến cổ vũ mình nhe.","Giỏi thế. <eos> Oke, dĩ nhiên mình sẽ đến cổ vũ cậu rồi."
811,Mấy ngày nay chạy deadline mệt mỏi quá. <eos> Cuối tuần này đi chơi mày ơi.,"Oke nè, cuối đi tuần đi Phúc Long đi."
812,Tao ngán Phúc Long lắm rồi.,Chứ mày muốn đi đâu?
813,Đi ăn đồ nướng rồi đi trà sữa đi.,Vậy qua quán lẩu nướng chỗ mình hay ăn đi.
814,"Được á, ăn rồi qua quán trà sữa KOI gần Lottemart nhe. <eos> Quá KOI mới có món trà sữa trái cây mới á.",Oke quyết định vậy nhe.
815,Hôm nay của bạn thế nào?,Không thế nào cả.
816,"Mình chưa hiểu lắm, ha ha?",Ý bạn muốn hỏi cụ thể là gì?
817,"À, hôm nay bạn vui hay buồn nhiều hơn?","Không vui, cũng không buồn, ha ha. <eos> Còn bạn thì sao nhỉ?"
818,"Vậy chúng mình giống nhau rồi, ha ha.",
819,Chào bạn.,"Chào cậu. <eos> Mình tên Hải, bạn tên gì nhỉ?"
820,À mình tên Phương. <eos> Tên đầy đủ là Lý Thu Hà.,Còn tên đầy đủ của tớ là Hồ Phương Hải. <eos> Rất vui được trò chuyện với Hà lúc này.
821,"Mình cũng thế, mà Hải có sở thích chơi bóng đá lắm đúng không?","Bạn nói đúng rồi đó, mà sao bạn biết thế, ha ha."
822,Tại mình thích để ý Hải.,
823,Chào bạn.,Chào bạn.
824,Cho mình gửi bạn menu chọn món của tiệm mình ạ.,Cho mình chọn món cua rang me này nhé.
825,Mình lấy mấy phần vậy ạ?,À cho mình 3 phần.
826,"Còn về thức uống, bạn muốn chọn loại thức uống nào ạ?",Đợi mình một chút.
827,Vâng ạ.,"Rồi, cho mình hai ly này nhé."
828,Vâng ạ.,
829,Xin chào. Bạn tên gì?,Tôi tên Hưng. Chào bạn?  <eos> Còn bạn tên gì?
830,Tôi tên Huy <eos> Bạn học khoa nào?,"Tôi học CNTT, ngành khoa học máy tính <eos> Còn bạn học khoa nào?"
831,"Trùng hợp thật. Tôi học khoa ngoại ngữ, ngành ngôn ngữ Trung",Rất vui được biết bạn!
832,Tôi cũng vui khi được làm quen với bạn,
833,"Ê, sao tôi thấy dạo này bạn gầy quá vậy?","Nói nghe buồn vậy bạn, chắc do dạo này chạy deadline nhiều quá"
834,Học gì mà làm bài nhiều ghê bạn,Thì học công nghệ thông tin toàn làm báo cáo mà
835,Ủa là không có thi tập trung hả?,"Có mà ít lắm, giờ kỳ 6 rồi mà, nên đa số các môn chuyên ngành toàn làm báo cáo thôi"
836,Ừ nghe sợ thế nhỉ.,"À! Bạn dạo này đẹp lên quá nha, học nhàn lắm hả?"
837,"Cũng không nhàn đâu, mà tại có bồ nên đẹp lên á …",À thế à @@
838,Ê! Học xong chưa? Chơi game đi,"Tui đang chạy deadline, đợi tui 30p được không?"
839,"Vậy tui chơi trước nha, xíu học xong nhắn tui",Ok nha. Ủa mà chơi game gì vậy?
840,Game gì cũng được. Cho bạn chọn đó,Lâu này không chơi game có biết chơi game gì đâu
841,Bạn chơi được CSGO không?,"Có, mà máy mới chưa tải?"
842,"Vậy giờ tải đi, xíu chơi là ổn",Ok tải liền đây
843,Sở thích của bạn là gì?,"Tôi thích là chơi game, xem phim và nghe nhạc"
844,Còn bạn thích gì?,"Tôi có sở thích khá đặc biệt, thích ăn và ngủ thôi"
845,Sở thích như bạn chắc ai cũng có quá… <eos> Rồi bạn thích ăn loại đồ ăn nào?,"Đồ ăn nhanh, phải cay nha <eos> Còn bạn thường xem phim gì vậy?"
846,"Phim kinh dị, phim tình cảm lãng mạn","Tôi sợ ma lắm, nên không xem phim kinh dị, phim tình cảm thì xem được"
847,Có phim hay rủ xem cùng nha,"Nhất trí, đang có mấy bộ hay lắm"
848,Lâu rồi tụi mình không đi chơi nhỉ?,Ừ. Hay kiếm chỗ nào đi vài hôm đi
849,"Ok luôn, mà bạn rảnh lúc nào để còn biết sắp xếp",Tháng sau tôi rảnh á
850,"Tôi cũng rảnh, vậy đầu tháng sau đi luôn nha",Được luôn bạn tôi ơi <eos> Mà đi đâu
851,Đà Lạt được không,Thôi đi biển đi
852,Vậy Vũng Tàu đi,Chốt đơn
853,"Chào bạn, cho mình làm quen được không ?","Chào, rất vui được làm quen với bạn"
854,Cho mình hỏi bạn tên gì vậy ?,Mình tên Đá 
855,"Oh, tên bạn lạ quá ha","Ừ, ai gặp mình cũng nói vậy"
856,"Haha, nhưng mình nghĩ cái tên đó cũng rất hay <eos> Chắc ba mẹ bạn không muốn bạn sa vào mấy tệ nạn như đập đá, hút chích",Thiệt ra ba mẹ đặt tên mình là muốn đặt tên theo các loại đá quý đó
857,À thì ra là vậy,
858,Đi Vũng Tàu không mày?,"Oke luôn, vậy khi nào triển?"
859,Được thì chủ nhật này đi luôn,Đi thì đi chứ sợ gì mày
860,"Vậy soạn đồ đi mày, sáng mai tao qua rước",Đi qua đêm hay trong ngày để biết ?
861,Sáng đi chiều về cho nó chất,"Vậy thôi khỏi soạn gì cho mệt, một bộ cho ngầu"
862,"Oke vậy mai tao qua đó, nhớ dậy sớm",Oke bồ
863,Sáng mai dậy sớm đi chạy bộ đi bạn?,"Tối nay tôi chạy deadline, mai chắc không dậy sớm được"
864,Học nhiều môn lắm hả? <eos> Thấy deadline dí miết vậy?,"Có 5 môn chuyên ngành à, tại nhiều bài cùng lúc nên dạo này có liên tục"
865,Vậy hôm nào rảnh? Đi chạy hay chơi cầu lông gì đi,Thứ 7 tôi rảnh á?
866,Vậy sáng thứ 7 đi chạy nha?,"Ý là thứ 7 không có deadline, nên chủ nhật đi"
867,"À ok bạn, nhớ dậy sớm nha",
868,Mai đi xem phim không bạn?,Mai mấy giờ vậy?
869,"Chắc xem xuất 19h đi, được ko?",19h tôi bận rồi <eos> Bạn xem vào chiều được không?
870,"Chiều mai tôi bận rồi, giờ sao?","Vậy bữa kia thì sao, bạn rảnh không?"
871,Tối kia tôi rảnh,"Vậy chốt nha, 18h30 tôi qua đón"
872,Ok bạn nha,
873,"Hôm nay, mình được cô cho điểm mười.",Thế à? Môn gì thế?
874,Môn Văn.,Giỏi _x0008_thế! _x001d_Bạn chỉ cho mình cách học giỏi môn Văn với nhé!
875,Đâu có gì khó chỉ là vốn từ ngữ và sự quan sát độc đáo sẽ giúp chúng ta thêm phần tiến bộ hơn. Nhưng ...,Nhưng sao?
876,Nhưng theo mình vẫn nhờ vào sự kiên trì là nhiều nhất!,Nhờ sự kiên trì ư?
877,"Đúng vậy, có kiên trì chịu khó chau chuốt kiến thức thì mới có được thành công.",Có lẽ cậu nói đúng! Mình cảm ơn nhiều.
878,Không có gì đâu!,
879,Bạn thường làm gì vào những lúc rảnh rỗi?,Mình rất thích xem các bộ phim nước ngoài. Còn bạn thì sao?
880,"Mình thích các hoạt động ngoài trời. 
Bạn có thích cắm trại không?","Chỉ cắm trại qua 1 đêm thì không sao, mình không thể cắm trại qua nhiều hơn 1 đêm được!"
881,"
Bạn đã bao giờ cắm trại ở Đà Lạt chưa?","Chưa, nhưng mình rất thích được cắm trại ở đó. Mình nghe nói đó là nơi rất tuyệt"
882,Nó rất lãng mạn. Mình và mọi người trong gia đình đều thích nơi này.,"
Bạn có bức ảnh về cảnh cắm trại ở đó không?"
883,"Có chứ, bạn có muốn xem không?",Hay quá!
884,"Chào Thức, lâu quá không gặp, _x001d_bạn khỏe không?","Mình khỏe, còn bạn thì sao?"
885,"Mình cũng khỏe, Sáng mai bạn có thời gian rảnh không?","Ừ, sáng mai mình rảnh."
886,Sáng mai mình đi xem phim nha?,Được đó. Phim bắt đầu lúc mấy giờ vậy?
887,Khoảng 10 giờ.,Bạn qua chở mình đi được không?
888,"OK, mình sẽ đến đón cậu sớm hơn một chút và chúng ta sẽ đến quán cafe cạnh rạp chiếu phim, như vậy được không?","_x001d_Được, mình rất thích nơi đó. Hẹn gặp _x001d_bạn ngày mai."
889,Tạm biệt,Tạm biệt
890,Có chơi thể thao không Thức?,Có mày.
891,Mày chơi môn gì nhỉ?,"Tao chơi bóng đá, bóng rổ, cầu lông, bơi lội."
892,Mày chơi nhiều vậy. <eos> Vậy chứ mày giỏi nhất môn gì?,Bóng đá.
893,Mày chơi vị trí nào?,Tiền vệ.
894,Vậy hôm nào tao với mày lập team đá giao lưu không?,Chơi luôn.
895,Ngày mai ông rảnh không ?,"Có ông, chi vậy ông?"
896,Mai ông đi Vũng Tàu với tui không?,"Được ông, mình đi bao nhiêu người vậy ông?"
897,5 người đó ông. <eos> Ngày mai ông đi xe đến nhà tui đón tui rồi mình đi nha!,Được thôi.
898,"ê, tối nay xem phim không?","có, xem phim gì mày?"
899,Jurassic World Dominion mày,"thôi mày, tao đâu thích xem phim khủng long <eos> hay đi xem phim tình cảm đi <eos> mới ra phim Kẻ thứ ba kìa mày"
900,thôi dẹp mày,
901,đi bơi không mày?,ok con dê <eos> khi nào đi?
902,cuối tuần này,mấy giờ?
903,2h chiều,"ok, nhớ nhắc tao"
904,"Ê mày, có phim nào hay hay để coi hông?","À tao có phim này hay lắm, để tao search google cho xem <eos> Đây nhìn nè, phim này đó"
905,"""No country for old men"", cái tên phim nghe ngộ vậy?","Phim ra năm 2007, thắng giải Oscar năm 2008 đó, tuy cũ mà hay"
906,Để tao xem trên Netflix coi có không xem luôn cho nóng <eos> À có trên Netflix luôn nè,"Đấy, xem luôn cho nóng"
907,Tao mới mua bàn phím cơ mới nè,Bàn phím gì đấy?
908,Logitech G512,Dùng switch gì?
909,GX Brown Switch,Sao không dùng blue switch gõ nghe cho đã tai?
910,"Blue switch gõ nhiều ồn phiền người khác lắm, chọn brown switch là hợp lý","Ừ, vậy cũng được"
911,"Eh, nghe bảo xu hướng năm nay là quần áo có họa tiết nổi bậc","Ừ, các màu như đỏ, cam, vàng,… đang dần thịnh hành hơn"
912,Eh nhưng mà mặc dù các màu sắc nổi bật được ưa chuộng nhưng mà màu Pastel vẫn chưa out trend nha,"Mấy màu Pastel đó đi đôi với gout thời trang trưởng thành, thanh lịch mà ba, nên làm sao mà hết thời được"
913,"Tao cũng đang định dấng thân vào thời trang công sở bro, nhưng mà mấy đứa bạn tao bảo nhìn như đa cấp",Tao nghĩ mày hợp với street style hơn
914,"Hmmm, may be, nhưng mà đã quyết định thay đổi gout ăn mặc nhẹ nhàng, tinh tế hơn rồi ba haha","Ok, It's up to you"
915,"Ay yo, what's up bro","Ay yo, lâu rồi không gặp bro, dạo này phát tướng ra nha"
916,"Haha, ông quá khen chứ tui thấy tui cũng không khá hơn xưa mấy","Thấy mặc quần áo hiệu, mang trang sức đầy người mà ông cứ khiêm tốn"
917,"Haha may mắn thôi ông ơi, từ lúc tập tành chơi rap đến giờ cũng 6 năm rồi, mà giờ mới thấy có cơ hội phát triển","Tính ra ông ghê phết, dạo này tên tuổi bắt đầu mon men trên mấy cái bảng xếp hạng âm nhạc rồi ha"
918,"Ầy, cũng là nhờ có sự đổi mới trong phong cách, làm nhạc theo xu hướng của thị trường thì mới có đà mà đi lên, chứ không thì giờ tui là ai, tui ở đâu có khi chính tui còn không biết nữa kìa ","Ừ mà ông cũng chịu khó ha, hồi xưa mê Rap Old School, sống chết với Original mà giờ cũng chịu thay đổi đóng tune cho hợp xu hướng"
919,"Thì mình sống được hay không là nhờ khán giả mà ông, người ta muốn mình hát Bolero thì cũng đành phải chịu chứ haha",Đang nói về Rap mà ông mang Bolero vào
920,Vậy là ông chưa thấy có mấy ca sĩ cover nhạc trẻ theo phong cách Bolero rồi haha,"Cái đó mang tính giải trí nhiều hơn ông ơi, giải trí ở đây là nghe cho vui chứ người ta đâu có quan tâm đến kỹ thuật thanh nhạc đâu"
921,"Thì cái gì mới, cái gì lạ thì lại càng dễ thành xu hướng mà, có người nhờ drama mà nổi tiếng trong một đêm, đâu phải ca sĩ nào cũng tập trung vào kỹ thuật đâu ông, cứ xinh đẹp sexy thì lại càng có nhiều đại gia tìm đến, lúc đấy thì cứ việc ở nhà mà chơi golf thôi chứ đi hát làm gì cho cực hả ông","Haha nói là vậy, nhưng tui thì vẫn thích hiphop, sống có hiphop, chết đi vẫn không bỏ hiphop"
922,"Hiphop vibe bro, hiphop neva die",
923,Sắp tới có rất nhiều phim chiếu rạp hay lắm đó!,"Vậy hả, bạn có dự định xem phim gì không?"
924,Chắc mình sẽ đi coi phim Doctor Strange 2 <eos> Còn bạn thì sao?,Mình cũng chưa rõ nữa! <eos> Dạo này mình chưa có thời gian rảnh lắm.
925,Cuối tuần này bạn có rảnh không?,Để mình kiểm tra xem… <eos> Chắc là có đó.
926,Vậy bạn có muốn cuối tuần này đi với mình không?,Cũng được đó! <eos> Bạn có định rủ ai đi chung đông vui nữa không? <eos> Hay là chỉ có 2 đứa mình thôi.
927,Chắc chỉ có 2 đứa mình thôi á.,"Ok, vậy cũng được bạn lên kế hoạch đi rồi báo mình nha."
928,Okey nha!,
929,"Alo, bạn được ra khỏi lớp chưa?","Mình đây, mình đang ở dưới ghế đá ở trước cổng toà A rồi này."
930,"Bạn có đi ăn không, mình đi chung với nhau đi.","Cũng được đó, mình cũng hơi đói rồi. <eos> Vậy cậu muốn ăn?"
931,"Ăn bò kho, hủ tiếu hoặc mấy món nước cũng được. <eos> Cậu có biết quán nào ngon không?",Có mình biết một quán mấy món nước khá ngon <eos> Ở đó có bò kho ngon lắm.
932,Hấp dẫn đó <eos> Vậy mình hẹn nhau ở cổng chính nha,Bạn ra đi mình sẽ đợi.
933,Cậu thích quần áo như thế nào?,Mình thích mấy loại áo rộng rộng một xíu.
934,"A, bên này có mấy cái áo khá hợp với cậu này. <eos> Trông nó cũng khá rộng rãi và thoáng mát đó",Để mình xem thử <eos> Mấy cái này cũng được nhưng mà nó hơi không đẹp lắm.
935,"Cậu cứ lựa đi, để mình đi kiếm thêm ở mấy dãy này. <eos> Ở bên này này, nhìn dễ thương và đẹp hơn này",Mấy bộ này xinh này! <eos> Mình lựa được mấy bộ rồi này
936,"Cậu thấy được chưa, cứ lựa thêm tí nữa cũng được",Nhiêu đây chắc cũng đủ rồi đó
937,Mình đi tính tiền thôi,Được rồi đi thôi!
938,"Nay có trận Việt Nam đá đó, cậu có xem không?","Hôm nay hả, mấy giờ vậy?"
939,19h nha,Giờ dó chắc mình coi trễ một tí <eos> Có gì cậu xem đi tí nữa hiệp 2 mình mới coi
940,"Trận hôm nay hấp dẫn lắm, ráng xong coi sớm nha","Hehe, có gì cậu kể mình nghe tỉ số hiệp 1 là được"
941,"Không nha, cho cậu tự coi",Vậy mình sẽ tự coi lại vậy
942,"Ê, cậu rảnh chưa tới giờ lên chơi rồi",Đợi mình một xí. <eos> Đã đầy đủ team chưa vậy.
943,"Còn cậu với thằng Tâm thôi đó,",Oke mình lên liền nha
944,Nhưng mà hôm nay chơi bắn súng nha.,Sao vậy?
945,Nay cả nhóm định chơi thử game bắn súng mới ra.,"Được thôi, chơi game nào mình cũng thích cả."
946,Chào bạn,Xin chào
947,Bạn tên là gì ?,Mình tên Tùng <eos> còn bạn tên là gì?
948,Minh Phương <eos> Bạn sinh viên khoa nào?,Mình sinh viên khoa CNTT
949,Mình cũng vậy <eos> Bạn là sinh viên khóa mấy vậy?,Mình sinh viên khóa 22
950,Mình cũng là sinh viên khóa 22,
951,Tối nay qua có xem Việt Nam đá Sea Games không?,"Không, tối qua tao bận làm bài tập"
952,"Tiếc thật, Việt Nam đá hay mà mày không xem",Tỉ số bao nhiêu vậy
953,Việt Nam thằng Indonesia 3 bàn,Quang Hải có ghi bàn không?
954,Quang Hải không đá Sea Games <eos> Hôm qua Tiến Linh và Hùng Dũng ghi bàn,
955,Tối nay đi xem phim không bạn?,Xem ở đâu thế?
956,Lotte Mart Quận 7,Mấy giờ?
957,7 giờ tối,"Ok, mình đi được <eos> Xem Doctor Strange hả bạn?"
958,"Không, Mình với Nguyên đi xem Fantastic Beast <eos> Bạn xem phim đó không <eos> Xem thì mình đặt vé chung luôn",Vậy đặt giúp mình 1 vé luôn nha
959,Đi nhậu không bạn <eos> Tao với Việt mới tìm được quán ốc ngon lắm,Khi nào bạn?
960,9 giờ tối thứ 7,"Được, quán nào thế"
961,Đối diện Pattaya,Tao không biết Pattaya chỗ nào cả
962,Đường D4 gần chung cư Hoàng Anh Thanh Bình,"À, tao biết rồi <eos> Tầm 9 giờ kém tao đến"
963,Tao mới mở ra skin Yasuo mới đẹp lắm <eos> Solo không?,Tao bỏ Liên Minh lâu rồi
964,Vậy giờ còn chơi game không,Còn chứ <eos> Mấy game AAA
965,Giàu vậy <eos> Mua game chơi luôn à,Tao chơi game Crack thôi
966,Có game nào hay giới thiệu tao với nha <eos> Chứ Liên Minh chời nhiều cũng chán,Tối rảnh tao gửi cho mày link tải Game này chơi
967,Sáng mai bạn rảnh không chỉ mình bài này với,Môn gì vậy bạn
968,Môn Xác suất thống kê <eos> Bài 4 trong đề cương thầy giao ấy,"Được, mai mình hẹn gặp ở đâu vậy?"
969,Thư viện trường mình nhé,"Ok, tầng hầm thư viện nhé <eos> Mình không có ổ khóa nên không vào thư viện được"
970,Mình dư 1 ổ khóa <eos> Có gì 2 đứa mình để đồ chung rồi lên tầng 2 ngồi cho mát,
971,Hôm nay em có gì vui không?,Hôm nay em đi shopping
972,Đi ở đâu?,"Nice Store, Trần Hưng Đạo, Quận 5"
973,Gần công ty anh,Anh đến đó bao giờ chưa?
974,Chưa <eos> Anh không biết store đó,"Bữa nào anh ghé thử, ở đó nhiều đồ đẹp "
975,Ok em,
976,Nghe nói bạn mới chuyển ngành à,"Uk, mới chuyển được 1 tuần trước"
977,Chuyển qua ngành gì?,Quản lý du dịch
978,Ngành đó cũng nhiều tiềm năng,"Uk, mình tìm kiểu nghĩ lắm mới quyết định đó"
979,Chúc bạn qua ngành mới gặp nhiều thuận tiện nhé,Cảm ơn bạn nhiều
980,Có chứng chỉ Toeic chưa bạn?,Chưa. Mình đang có ý định ôn để thi nè
981,Dự định thì khi nào vậy?,Chắc bắt đầu từ tuần sau <eos> Còn bạn thì sao? Có chứng chỉ chưa?
982,"Mình cũng chưa, đang kiếm bạn để ôn cùng",Vậy mình với bạn cùng ôn
983,"Ok, Bạn có muốn kiếm lớp ôn luyện không? Hay tự ôn",Mình nghĩ tụi mình tự ôn cũng được
984,"OK, vậy để mình sắp xếp thời gian, bắt đầu từ tuần sau nha.","OK, để mình tìm tài liệu"
985,ông ơi cho tui hỏi báo cáo có cần làm theo mẫu của khoa không,làm đi ông cho nhìn nó đàng hoàng  <eos> dù gì cũng là bài giữa kì
986,cảm ơn ông ,
987,"ủa hôm qua mày có học online không, thầy giảng cái gì vậy","có, hôm qua thầy giảng chương 2 mà toàn bắt đọc sách rồi trả lời như hôm bữa thôi à  <eos> ủa mà sao nghỉ vậy, mày nghỉ nhiều vô rồi bị cấm thi "
988,"qua tao bận chuyển nhà, mới nghỉ có 1 buổi à không sao ",
989,tuần sau tao về rồi ngày mấy tụi bây rảnh đi ăn,mày rảnh ngày nào có bận đi chơi với gia đình không
990,thứ sáu tuẩn sau tao rảnh hôm đó mày đi ăn được không?,ok lúc đó tao làm xong báo cáo rồi <eos> mày tính đi ăn ở đâu
991,"đi ăn Hadilao đi, lâu rồi tao chưa ăn lẩu ",vậy đi sớm sớm nha đợi tối đi xếp hàng đông lắm
992,ok vậy hôm đó trưa mày qua chở tao nha,ok 12 giờ nha 
993,Nghỉ lễ mày có đi đâu chơi không?,tao đi Đà Lạt với gia đình
994,"mày đi mấy ngày,khi nào mày về?",Tao đi 5 ngày mới về 
995,Về nhớ mua quà cho tao nha ,Ở Đà Lạt có gì đâu mà mua
996,Có mứt dâu đó mày mua cho tao đi ,Vậy nếu đi chơi còn dư tiền tao mua cho
997,Ủa bài báo cáo đặt tên như thế nào vậy bà  <eos> Tui không thấy thầy ghi trong đề,Mã số sinh viên với tên nha ông <eos> Hôm bữa cuối giờ thầy có nói <eos> Chắc thầy quên ghi vô
998,Có cần zip bài lại không,Thầy nói không cần đâu nộp thẳng 2 file lên luôn <eos> Mà ông làm bài xong rồi hả? <eos> Nhanh vậy
999,Tranh thủ tại tuần sau tui về quê,À vậy đi vui vẻ nha lên nhớ đem trái cây đó
1000,Nhớ rồi,
1001,Ê mày thấy phim nãy coi hay không <eos> Sao tao thấy nó sạn nhiều quá ,Coi cũng được <eos> Mà có mấy chỗ phi logic thiệt
1002,Trên mạng người ta nói quá trời luôn <eos> Tự nhiên thấy uổng tiền ghê <eos> Biết vậy coi phim Turning Red,Ừa phim đó tao coi rồi dễ thương lắm
1003,Vậy hả để mốt tao dẫn nhỏ em tao đi coi,
1004,Ủa mai đi ăn ở đâu <eos> Mà ăn cái gì mới được,Mày muốn ăn cái gì
1005,Tao dễ lắm ăn cái gì cũng được,Có mày là kén chọn
1006,Vậy đi ăn lẩu đi lâu rồi chưa ăn,Mới đi ăn tuần trước mà lâu
1007,Vậy đi ăn gà ,ok được đó ăn ở tiệm mình hay ăn đúng không
1008,Ừa đúng rồi <eos> Mà đi sớm sớm chứ đi trễ sợ hết bàn,Vậy 11 giờ tao qua mày <eos> Nhớ chuẩn bị sớm tao qua là đi luôn đó 
1009,Lúc rãnh bạn thường làm gì?,Mình thường đi cafe với bạn bè khi rãnh.
1010,Bạn có hay nghe nhạc lúc rãnh rỗi?,Chỉ thỉnh thoảng mình mới nghe nhạc.
1011,Vậy bạn thường đi cafe ở đâu?,Mình thường đi quán cafe Phúc Long ở gần nhà.
1012,Bạn thường đi với ai?,Mình đi với 1 người bạn cấp 3 của mình.
1013,Bạn học trường nào?,Tớ học đại học Tôn Đức Thắng.
1014,Bạn học ngành gì?,Tớ học ngành Kỹ thuật phần mềm
1015,Ngành bạn học thuộc khoa nào?,Ngành tớ học thuộc khoa công nghệ thông tin
1016,Bạn là sinh viên năm mấy rồi?,Tớ là sinh viên năm cuối
1017,Bạn học chương trình học gì?,Tớ học chương trình chất lượng cao
1018,Học phí có cao không?,Học phí tớ thấy xứng đáng với chất lượng học tập
1019,Khi nào bạn ra trường?,Tớ sẽ cố gắng ra trường đúng hạn vào hè này 
1020,Bạn có thấy vui khi học ở trường này không?,Tớ có 
1021,Bạn học lực gì?,Tớ học lực khá
1022,Bạn đã từng rớt môn nào chưa?,Tớ có
1023,Bạn thích hãng phim nào nhất ?,Mình thích hãng phim Marvel nhất
1024,Thể loại phim bạn thích là gì ?,"Mình thích thể loại phim hành động, viễn tưởng."
1025,Bạn có thần tượng ca sĩ nào không ?,Mình rất thích ca sĩ Sơn Tùng MTP.
1026,Bạn có muốn đi xem phim vào cuối tuần này hay không?,Dĩ nhiên là muốn rồi
1027,Mai bạn có muốn đi đá banh chung với tụi mình không?,Xin lỗi mai mình có việc bận rồi.
